"","log(alpha)","log(a)","sigma2_alpha","sigma2_c","sigma2_a","sigma2_b","phi","phis"
"1",0.639148372559954,0.915936449047718,2.58810573982532,0.426919745399567,1.38125857025857,3.87677632518379,5,2.53072417674004
"2",0.639148372559954,0.915936449047718,0.333037780746268,0.467363313980822,0.98039026425789,1.44918133505167,4.2280428985851,3.02914915727601
"3",0.588014230728556,0.924466499007057,2.36901079668382,0.563156375013687,1.40664090695168,2.43141263040324,4.31129173404836,2.91773506167408
"4",0.588014230728556,0.890602832546665,1.10950000785642,0.381256254123829,0.254045462192489,2.62434060508008,3.38920914736137,2.58747455979077
"5",0.588014230728556,0.890602832546665,0.707212671216417,0.278074096204479,0.257472315098049,2.80171225889441,2.81651729914822,2.18936002565844
"6",0.588014230728556,0.890602832546665,3.03113773558004,0.422364028619893,3.21814251709609,2.19694095842607,2.81651729914822,1.98468729646008
"7",0.588014230728556,0.890602832546665,0.630569575633853,0.681051580378854,1.22323553802511,3.52128143399671,2.59857641518283,2.15165200969423
"8",0.575612666977464,0.890602832546665,6.21604814230546,0.535753144656911,5.66609629572484,1.93497558574209,2.59857641518283,2.72523374593763
"9",0.575612666977464,0.890602832546665,1.16876732632368,0.384051142298188,1.07630928995818,3.16624567272286,2.59857641518283,2.72523374593763
"10",0.575612666977464,0.97080178289102,0.442798052035423,0.367037938363481,2.34867542577864,2.54945893085915,2.59857641518283,2.96933122651789
"11",0.575612666977464,0.78564915227822,0.504364534963191,0.500690739804255,0.719717490754287,1.70575732517413,2.81409520206863,2.80831412796594
"12",0.575612666977464,0.78564915227822,2.97780795708128,0.606589739921986,2.79027474816524,1.35500719484914,1.97941991900957,2.74578189364977
"13",0.575612666977464,0.652172791493928,0.574024948742429,0.545555148512981,0.381393000845063,2.68443623341484,4.00313671316943,2.53621435954889
"14",0.575612666977464,0.652172791493928,0.424357133019127,0.483987605163335,1.2440969258649,1.73229591576695,4.63735646826022,2.66898062738399
"15",0.575612666977464,0.652172791493928,0.428545382554316,0.486698999840381,1.17309612352437,2.53300347685226,4.63735646826022,2.85840894040512
"16",0.575612666977464,0.774633303515959,0.509652918336385,0.377124577079109,0.764424056013788,3.07165645885317,4.63735646826022,2.85840894040512
"17",0.534442140934265,0.774633303515959,1.54226806163971,0.397612782133478,1.00033391103673,1.90163045194146,5.04213120116435,2.85840894040512
"18",0.534442140934265,0.774633303515959,0.806542563669391,0.400216520380063,0.858929450069532,2.42551892769149,4.53373034744405,2.97806177332725
"19",0.626282879205974,0.774633303515959,0.896365527545953,0.30609717722414,0.615711148430418,2.18807127597404,5.7603614415633,3.34020994104417
"20",0.626282879205974,0.774633303515959,1.64479545406395,0.532861845455996,0.448671818331375,2.00266084897885,5.7603614415633,3.39031156751702
"21",0.626282879205974,0.774633303515959,0.469369834944083,0.513939439597359,0.481840040966004,2.29406657918849,5.7603614415633,3.72897081468835
"22",0.626282879205974,0.774633303515959,0.507519134275273,0.448133821240507,5.13035404237394,1.9995286075256,5.50046951548999,4.07401165086942
"23",0.640519825285781,0.774633303515959,0.665374185957125,0.423198086780308,1.50515208810747,1.95431900632067,6.05724996759824,3.55733999318873
"24",0.640519825285781,0.662655896606098,2.01317187287739,0.352879201347165,1.88928313225655,3.16206788177922,6.49131330459314,3.34326529990086
"25",0.640519825285781,0.607354338549581,0.622614924426876,0.450062334141228,0.481037788521275,1.85554448049603,6.49131330459314,2.88047189263399
"26",0.627831589429276,0.607354338549581,0.556527960408293,0.300307595249054,1.25431166382824,1.47297770679074,8.07906909261849,2.55964328555577
"27",0.627831589429276,0.607354338549581,0.395860348077873,0.538691724150809,1.12864375472817,1.85014091513889,8.07906909261849,2.43457306190716
"28",0.627831589429276,0.607354338549581,2.12882585818784,0.386980220435002,0.406475728957276,1.91497640914199,6.94935192813307,2.74842258959888
"29",0.627831589429276,0.548800567758077,0.600178290875422,0.380909048478923,1.58572646497049,1.92695260194359,7.03006160156741,2.39426347181638
"30",0.627831589429276,0.573635549232778,0.545259858534062,0.367066919462181,0.882570694685953,2.30554238231032,8.35472736343906,2.09582524901876
"31",0.627831589429276,0.573635549232778,8.39441754140616,0.590395940656974,2.49210169747578,1.64200592754266,8.87309479796322,1.99844302971162
"32",0.627831589429276,0.573635549232778,4.14215685911741,0.464375195621075,0.471742041031953,1.38338908164033,8.87309479796322,2.01523448288974
"33",0.58331462953609,0.800596522102571,0.834074577185965,0.328865065127239,1.51832975170927,2.5422277636416,9.90589804691265,1.75478497091371
"34",0.58331462953609,0.617300313145714,0.221071480966234,0.411195738958439,0.886818513354922,1.54061076962554,10.1835071297815,1.76174794584278
"35",0.58331462953609,0.617300313145714,0.981747852350379,0.372068452207814,8.61921786862238,2.52121374409745,9.99343439800134,1.70830977519022
"36",0.58331462953609,0.617300313145714,0.282821926637217,0.493677734341325,1.39545623278401,1.94303530063116,9.99343439800134,1.89313785090204
"37",0.58331462953609,0.617300313145714,13.8918814804171,0.508674427916003,0.580062400041792,3.40409018526671,8.61738554072119,1.96889730704926
"38",0.58331462953609,0.771252104916662,0.665786757471689,0.647235541890995,0.446235806101324,1.73301616990412,8.61738554072119,1.82296258602793
"39",0.58331462953609,0.771252104916662,2.43223479715724,0.255630805993791,6.02381220593039,2.25341620335277,8.96608224208118,2.17613917534084
"40",0.60418551674293,0.771395242762196,0.432496369089172,0.36012922372606,1.07333796595981,2.11799201151056,10.1200610031429,2.59498576872441
"41",0.60418551674293,0.692021175374559,1.01146491970697,0.374134055536019,1.21128960151546,1.95064313395571,8.66744262375632,2.42652843768749
"42",0.60418551674293,0.692021175374559,0.660108793371221,0.605698582413962,0.8704174121269,1.95956812449266,7.83114751058214,1.91350245838912
"43",0.60418551674293,0.692021175374559,0.473368969299184,0.432476227627888,3.18977942141365,1.66531780109534,6.52367194433852,1.71419321467759
"44",0.60418551674293,0.692021175374559,0.425590538793384,0.420333385849036,0.315368601540366,2.48914017316437,6.52367194433852,1.49421979043353
"45",0.60418551674293,0.692021175374559,0.724634848329122,0.333252628851813,7.47609327800905,2.21080802869739,6.52367194433852,1.49421979043353
"46",0.60418551674293,0.692021175374559,0.56378846534095,0.61373221472325,0.963368136461857,1.23348327321531,5.06974776610762,1.70980389803056
"47",0.60418551674293,0.692021175374559,0.59236486135498,0.456136962101087,0.915773324560222,2.02077145583391,5.06974776610762,1.82933147678768
"48",0.60418551674293,0.692021175374559,11.969572572469,0.56512021389566,1.70215086709335,1.76876007857964,2.00989175733801,1.6692105739994
"49",0.641033127106345,0.691006101863579,0.940095704869415,0.479722250850866,2.44327546708125,1.50816776052166,2.00989175733801,1.69384116898967
"50",0.641033127106345,0.708919137430374,1.17743444892738,0.623105540865541,1.62351994983222,1.28223718571759,2.48415685688855,1.66325647294092
"51",0.641033127106345,0.694376844005558,1.73970975176448,0.424539670519261,0.863605384840458,1.52280494320224,2.48415685688855,1.34873994990149
"52",0.641033127106345,0.783592612299777,0.645698470135146,0.33592638002791,1.14033847952804,1.31566276036671,1.57171107447702,1.85735126046923
"53",0.641033127106345,0.76504113779203,0.414433546348574,0.439859358312794,0.648934690468297,1.7380337950596,1.16363803330632,1.59347133835376
"54",0.641033127106345,0.76504113779203,5.77858997210053,0.398251810753792,1.77842176511401,1.95041912849731,1.16363803330632,1.46869941260445
"55",0.641033127106345,0.76504113779203,0.319062799184229,0.411745546184176,0.829987201397968,1.94478500279586,0.982185551484043,1.15557671227768
"56",0.641033127106345,0.76504113779203,0.544382234487435,0.373454423019563,3.88178723908311,2.32530572823268,0.982185551484043,1.15557671227768
"57",0.629926132114148,0.76504113779203,1.61252731508249,0.52539394095175,0.915883963266908,1.52413038690609,0.0520790995731739,1.50550246763195
"58",0.629926132114148,0.595306023166787,3.44572537944363,0.571930109234419,51.7865535534453,2.08837171465775,0.0520790995731739,1.77296394411841
"59",0.629926132114148,0.595306023166787,2.01013057219757,0.252527568211962,0.220063486815426,1.65367850635475,0.0520790995731739,1.82204699897987
"60",0.627609219546055,0.608980626714956,1.41739248264399,0.414923872970233,1.54951811059565,1.65698156319151,0.0520790995731739,2.2132698988038
"61",0.627609219546055,0.697587562938498,0.385315037716461,0.375305514772362,2.43503402347649,1.7686505495879,0.536181788798986,2.09948555183875
"62",0.627609219546055,0.556538067957518,2.06612232234148,0.375259739504307,0.481425773418645,1.03990683104024,0.536181788798986,1.63563337311901
"63",0.627609219546055,0.556538067957518,1.14560812905341,0.759133825514939,0.690639968743938,2.19594195366734,0.536181788798986,1.57346192430142
"64",0.627609219546055,0.556538067957518,0.382259603180904,0.421663543617994,1.02324066280454,2.267254183621,0.536181788798986,1.02443273592144
"65",0.627609219546055,0.556538067957518,0.519828952694218,0.390716429586171,2.20755068918899,1.9583082849137,0.808350824422898,0.348145085552827
"66",0.627609219546055,0.558530662904994,0.41508687767098,0.528930392380464,1.4929749812809,1.68281230493738,0.808350824422898,0.278765906834291
"67",0.627609219546055,0.558530662904994,0.910754792658644,0.363556771988912,0.716552420179999,1.3338309875811,0.252205321560224,0.278765906834291
"68",0.627609219546055,0.731164975667026,0.2280392286629,0.417376741505112,0.654103615791295,2.93831731759512,0.252205321560224,0.24852387954777
"69",0.627609219546055,0.731164975667026,1.69563338624017,0.515309468842759,0.811368372710686,1.62996279469808,0.0576311409599194,0.109193185691222
"70",0.627609219546055,0.592622834008268,2.34136205095046,0.458822153096969,0.508820757137064,2.12117768760163,0.0576311409599194,0.399400135674732
"71",0.627609219546055,0.608277998524036,1.3602823087629,0.416357369987461,0.43636436444892,1.77056894118427,0.0576311409599194,0.703887161371553
"72",0.627609219546055,0.608277998524036,0.7782595366747,0.503143260221844,0.879870601953219,1.36073988338363,1.27007544826465,1.00302747119189
"73",0.627609219546055,0.683359336867031,0.329727404897619,0.505148155631108,1.07294767347993,4.07483006437608,1.27007544826465,1.5035602584102
"74",0.596855439996137,0.683359336867031,15.2805958903009,0.353486714419911,1.57174390516467,2.02829902466747,1.27007544826465,1.60415834371151
"75",0.596855439996137,0.683359336867031,1.62896235060576,0.602391377096928,0.768642395602658,2.07983185084575,1.04866486000039,1.18005681873438
"76",0.66949016515829,0.683359336867031,0.651577350084944,0.552250522131474,0.878805163514881,1.9171234508955,1.45418620155165,1.56629067750102
"77",0.66949016515829,0.683359336867031,0.702022231826041,0.411822511612484,1.06982984346566,2.28406593641693,1.45418620155165,1.67192776060404
"78",0.720570950273569,0.683359336867031,2.77522842469091,0.346985014914006,1.01149583426491,2.15434085261111,1.70477419405556,1.58885385190065
"79",0.720570950273569,0.683359336867031,0.751108654441701,0.559474021928324,2.29828976110911,1.89375414993804,0.43690455525068,1.31238456026084
"80",0.720570950273569,0.643421346376641,31.5148492215054,0.404496262909915,1.80847776394272,1.68271087085167,0.43690455525068,1.30268482943822
"81",0.720570950273569,0.734698253353182,0.588681840856017,0.437446872174555,0.820316581163591,1.82495221020422,0.861254910567438,1.37916687784964
"82",0.720570950273569,0.734698253353182,1.00166013807698,0.49225226032201,7.17226962934711,2.14502052888821,0.338311632018868,1.501238754487
"83",0.720570950273569,0.676294097052632,0.410810945127039,0.600035492091371,0.639771067651873,2.33883138322153,0.338311632018868,1.61971998334575
"84",0.720570950273569,0.705080366056356,0.409351052828474,0.335695418146149,1.02474273293304,2.39192816914579,0.338311632018868,1.57161600051077
"85",0.720570950273569,0.715494233575034,0.879314663344646,0.303515836092948,1.06242479724875,1.97742736117983,0.598206691801271,1.2061273577706
"86",0.720570950273569,0.695479879178855,5.1877632838519,0.388429171977417,0.616102088851048,3.45708708116819,0.598206691801271,1.20017791368173
"87",0.707281503403483,0.695479879178855,4.39609470906726,0.369835376242104,1.31421690455463,2.74073408955858,0.409240858418341,1.16457311597448
"88",0.707281503403483,0.633165004390826,3.06712705673348,0.642835590434141,0.558960473502082,1.52652672136054,1.16403233775086,1.18944910597041
