"","V1","V2"
"1",0.554365701077198,0.828072970297361
"2",0.201222727793322,0.813093036466244
"3",0.276836712278323,0.660997384139224
"4",0.330170374164829,0.383416923889706
"5",0.334286966956425,0.51634999253773
"6",0.193754998696461,0.349572554107382
"7",0,0.869560680217599
"8",0.15923830406988,1
"9",0.491755100769712,0.543639149123942
"10",0.404459147453666,0.451894678741602
"11",0.319251191039179,0.431646363204462
"12",0.227421276349189,0.412305392506784
"13",0.559799593042706,0.739034702730119
"14",0.652328522532192,0.748224622325467
"15",0.63614268382327,0.844354572482449
"16",0.245688362121563,0.665251552355722
"17",0.472149618123387,0.56004766678742
"18",0.542770805542776,0.570072678939225
"19",0.349842684437018,0.396762921453589
"20",0.300639006795801,0.425083932127054
"21",0.442915118356035,0.484407632256874
"22",0.531345764324432,0.576752084197869
"23",0.366970171365104,0.41886456266077
"24",0.320578726999958,0.425782708907084
"25",0.589012099246446,0.772482543464951
"26",0.294099145548055,0.339683875003403
"27",0.552896663466902,0.619073547083593
"28",0.394917423608194,0.471477273440642
"29",0.309481322892815,0.377091283465668
"30",0.311627001998886,0.365445372784811
"31",0.55137695022566,0.664485874547491
"32",0.288268538883628,0.378895326149918
"33",0.209769114066889,0.403303222664569
"34",0.614716778577196,0.692027985446785
"35",0.28240072278362,0.524074235932039
"36",0.487448244922257,0.60241582722801
"37",0.690217645214059,0.74467017413659
"38",0.208539712142685,0.920652957511147
"39",0.35604401826619,0.374318098600965
"40",0.540987641509474,0.571115167538911
"41",0.29031134954156,0.365157206786838
"42",0.58996619724434,0.653823959122695
"43",0.542608505078691,0.570167564423887
"44",0.272159415354117,0.345988151686032
"45",0.175705792570959,0.321297284373156
"46",0.5987770629232,0.715051499351748
"47",0.212129453185995,0.361013848123385
"48",0.576999109179228,0.718289805472139
"49",0.500744147257881,0.567478355576385
"50",0.399119049405262,0.462854226243561
