"","location","estimate","lower","upper","Method"
"107",41,0.5,0.463780058184883,0.536219941815118,"FFChange"
"108",41,0.500763539787432,0.496366170392696,0.505623063281966,"ST_Model"
"109",42,0.44,0.44,0.44,"True"
"110",42,0.44,0.422356806263085,0.470178467672193,"FFChange"
"111",42,0.440945422008791,0.436181321703736,0.445859039734667,"ST_Model"
"112",43,0.26,0.26,0.26,"True"
"113",43,0.26,0.252661087886042,0.338230129308771,"FFChange"
"114",43,0.26070954655413,0.25513044706238,0.267090142925779,"ST_Model"
"115",44,0.62,0.62,0.62,"True"
"116",44,0.62,0.594880225309102,0.628421717296203,"FFChange"
"117",44,0.624050463842946,0.616808157921634,0.630500727569788,"ST_Model"
"118",45,0.22,0.22,0.22,"True"
"119",45,0.22,0.211164356531741,0.378305149000378,"FFChange"
"120",45,0.219193184096705,0.212578182121028,0.225341164220981,"ST_Model"
"121",46,0.2,0.2,0.2,"True"
"122",46,0.24,0.215834368979462,0.571024725064162,"FFChange"
"123",46,0.198321996090403,0.188931661160197,0.209281484016832,"ST_Model"
"124",47,0.18,0.18,0.18,"True"
"125",47,0.22,0.200933830134602,0.561601929984055,"FFChange"
"126",47,0.186737454695184,0.181853689804682,0.192781550088355,"ST_Model"
"127",48,0.48,0.48,0.48,"True"
"128",48,0.48,0.451670537592666,0.513849052973441,"FFChange"
"129",48,0.477815034882079,0.472223101394728,0.483660424152411,"ST_Model"
"130",49,0.62,0.62,0.62,"True"
"131",49,0.62,0.602179598579335,0.625974511504041,"FFChange"
"132",49,0.618783597739831,0.611224240042329,0.62700854138054,"ST_Model"
"133",50,0.34,0.34,0.34,"True"
"134",50,0.42,0.401195259377041,0.458593195527739,"FFChange"
"135",50,0.341995501324299,0.33431413683393,0.349704086570525,"ST_Model"
