"","mu_beta","mu_c","mu_a","mu_b","log(-beta)","log(a)","log(b)","Phi^{-1}(c)","phi","phis","phit"
"1",20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
"2",3700,1816,4407,14184,10914,9707,14811,10417,12942,3898,1890
