"","mu_a","log(a)","sigma2_beta","sigma2_c","sigma2_a","sigma2_b","phi","phis","phit"
"1",0.112883999267104,0.112883999267104,1.24227134609467,2.22301767517466,2.17699844117706,0.00328263470872044,5.0060467785215,1.57257754918293,0.2
"2",0.112883999267104,0.170603484953108,1.42647612461286,1.82177420890189,0.223922745576403,0.00462633648963655,5.02312393586974,1.39571046876398,0.2
"3",0.112883999267104,0.185131547653108,1.12637468873455,2.08277307000991,0.620279199569759,0.00352825425826686,5.02312393586974,1.39571046876398,0.168021028400499
"4",0.112883999267104,0.353035964302582,1.22958972235208,2.16268396326248,0.0491964240472743,0.00337018018415181,5.02312393586974,1.42836175935337,0.17464908630943
"5",0.112883999267104,0.378611381037556,2.00349485788195,1.45194316624534,0.250676952720873,0.00342509817552422,5.06561382980981,1.42836175935337,0.17464908630943
"6",0.112883999267104,0.401549487926624,1.64318330816094,1.37421376381171,0.279974690603223,0.00396439591810776,5.06561382980981,1.47415310597462,0.17464908630943
"7",0.112883999267104,0.486610669305582,1.46782949184542,1.90266721768076,3.11746424206257,0.00450403449391921,5.06561382980981,1.47415310597462,0.17464908630943
"8",0.112883999267104,0.632269892712441,1.55242669329573,2.07322882916622,0.240254861524082,0.00487172588151564,5.06561382980981,1.47415310597462,0.194932696478906
"9",0.112883999267104,0.700515550178498,1.21248504249099,1.35442949687096,65.5612774539476,0.00360653298770964,5.06561382980981,1.47415310597462,0.194932696478906
"10",0.112883999267104,0.710167125282482,1.1471786592511,1.26271257769098,0.522497554502473,0.00431994960229108,5.06561382980981,1.47415310597462,0.189299871387122
"11",0.112883999267104,0.893195368609708,1.24288099812864,1.40207951442532,0.254611967148816,0.00576674285809217,5.06561382980981,1.47415310597462,0.189299871387122
"12",0.112883999267104,0.937581034446763,1.09017144125445,1.97231283481865,9918.36666634579,0.00523457677258262,5.06561382980981,1.47415310597462,0.189299871387122
"13",-0.293705865630603,0.947976675867401,1.73191803893178,1.04923213361778,0.773215577503789,0.00523955782073692,5.06561382980981,1.47415310597462,0.189299871387122
"14",-0.293705865630603,0.947976675867401,1.25513971241477,1.49837191240545,0.797981247487705,0.0041610582230269,5.06561382980981,1.47415310597462,0.189299871387122
"15",-0.293705865630603,1.07935705090147,1.55368544227587,1.41116087891746,1.23115872376228,0.0045534071316969,5.06561382980981,1.47415310597462,0.189299871387122
"16",-1.49808125578608,1.07935705090147,1.21312176333122,0.952877274937085,102.125680746832,0.00533001797852601,5.06561382980981,1.47415310597462,0.189299871387122
"17",-1.26265350117156,1.07935705090147,1.60499389415109,0.917380579552528,16.2750137666806,0.00431544732853979,5.06561382980981,1.47415310597462,0.189299871387122
"18",-2.12041920076853,1.1349940837974,1.27724363034863,1.18889093503583,1.60220349964966,0.00466675038902737,5.06561382980981,1.47415310597462,0.189299871387122
"19",0.275354908213293,1.19352375020086,1.57613427785535,1.71381186478062,1.3364401833098,0.00501748491929616,5.06561382980981,1.54022561221222,0.189299871387122
"20",0.275354908213293,1.19352375020086,1.57862983471981,1.21494970413975,2.17863571084436,0.00429924556821887,5.06561382980981,1.54022561221222,0.189299871387122
"21",0.275354908213293,1.23892453465077,1.36651383623648,1.42551183233233,2.65647483319366,0.00291982022688961,5.06561382980981,1.54022561221222,0.253479897077908
"22",-0.371508226692547,1.23906090045177,1.4618882447235,1.73131207442876,5251.80840934019,0.00379558841477827,5.12503862072329,1.54022561221222,0.253479897077908
"23",-0.371508226692547,1.23906090045177,1.74297060000914,0.999306846899632,0.534433474497725,0.00433411189428706,5.12503862072329,1.54022561221222,0.253479897077908
"24",-0.371508226692547,1.23906090045177,1.33744398307698,2.03056572645378,5.05359723605555,0.00502379137156389,5.12503862072329,1.54022561221222,0.253479897077908
"25",-0.371508226692547,1.23906090045177,1.13315858309801,1.0507545133661,2.12879015505639,0.00413813920849293,5.12503862072329,1.54022561221222,0.253479897077908
"26",0.735261862793047,1.29584360858217,1.19180365368621,1.26358957846748,0.617105187248772,0.00499512790118824,5.12503862072329,1.46143497258183,0.253479897077908
"27",0.735261862793047,1.49163100326994,1.44575544617544,1.3638526793195,0.467652594957284,0.00365552685580801,5.12503862072329,1.46143497258183,0.253479897077908
"28",0.735261862793047,1.49163100326994,1.68121766609183,1.38737207558828,182.348493717846,0.0033249508375498,5.12503862072329,1.46143497258183,0.251963194504515
"29",4.19949247761009,1.51024752195925,1.45442228379247,1.09910787684575,2.3176384916211,0.00412593405239055,5.12503862072329,1.46143497258183,0.251963194504515
"30",2.57164022004618,1.51024752195925,1.09430035997508,1.26027655591478,58.474384786374,0.00454121319063196,5.12503862072329,1.46143497258183,0.251963194504515
"31",2.57164022004618,1.51024752195925,1.32961707671302,0.887595988230813,0.324598045415899,0.0040348168936763,5.12503862072329,1.46143497258183,0.26015221804606
"32",2.57164022004618,1.51024752195925,1.43265808313883,1.07400317584356,2.48964555999763,0.00466981584194769,5.12503862072329,1.46143497258183,0.26015221804606
"33",2.57164022004618,1.67327030596062,1.38865036466413,1.24113019623884,1.55405955191826,0.00399500074873823,5.12503862072329,1.51809283743306,0.26015221804606
